chemsys,material_id,formula,composition_reduced,energy_above_hull,formation_energy_per_atom,is_stable,spacegroup,spacegroup_number,nsites,volume,density,band_gap
Co-Sb,mp-1317,CoSb3,Co1 Sb3,0.0,-0.147884075,True,Im-3,204,16,371.0008899393585,7.594834427268833,0.1633
Co-Se,mp-20456,Co3Se4,Co3 Se4,0.0,-0.349812147321427,True,Fd-3m,227,14,247.9330902955117,6.598935831204135,0.0
Co-Se,mp-20862,CoSe2,Co1 Se2,0.0,-0.345678589375,True,Pnnm,58,6,104.36753164439513,6.900483250700044,0.0
Co-Si,mp-7577,CoSi,Co1 Si1,0.0,-0.4929253525,True,P2_13,198,8,84.20725641751147,6.863918798427957,0.0
Co-Si,mp-2379,CoSi2,Co1 Si2,0.0,-0.41107844000000104,True,Fm-3m,225,3,37.49040591187122,5.098238012582362,0.0
Co-Si,mp-19905,Co2Si,Co2 Si1,0.0,-0.331056189166666,True,Pnma,62,12,125.322678636893,7.735513406677512,0.0
Co-Te,mp-9945,CoTe2,Co1 Te2,0.0,-0.18488016166666402,True,Pnnm,58,6,133.87904742648016,7.79256280113331,0.0
Hf-N,mp-2828,HfN,Hf1 N1,0.0,-1.982478059375001,True,Fm-3m,225,2,22.95971528254751,13.922136516412124,0.0
Hf-N,mp-776470,Hf3N4,Hf3 N4,0.0,-1.9739463853571442,True,Pnma,62,28,335.4955447440837,11.710480923591549,1.2648000000000001
Hf-N,mp-1224388,Hf3N2,Hf3 N2,0.0,-1.683426963500005,True,R-3m,166,5,68.71834818981536,13.61624986235148,0.0
Hf-N,mp-864647,Hf2N,Hf2 N1,0.0,-1.4078241012500001,True,P4_2/mnm,136,6,91.52212545339628,13.462054240702814,0.0
N-Ta,mp-1279,TaN,Ta1 N1,0.0,-1.3587061480416671,True,P-62m,189,6,68.47881040118597,14.182330026150181,0.0
N-Ta,mp-27488,Ta3N5,Ta3 N5,0.0,-1.286734426343752,True,Cmcm,63,16,205.6047591845259,9.899638880272295,1.214099999999999
N-Ta,mp-1079438,Ta2N,Ta2 N1,0.0,-1.027914502250003,True,P-31m,162,9,119.99852979935649,15.605209191431054,0.0
N-Ti,mp-492,TiN,Ti1 N1,0.0,-1.9426672827083311,True,Fm-3m,225,2,19.073073170918462,5.386845377479396,0.0
N-Ti,mp-8282,Ti2N,Ti2 N1,0.0,-1.454285262361111,True,P4_2/mnm,136,6,74.00545978835848,4.924737176612915,0.0
N-Zr,mp-1352,ZrN,Zr1 N1,0.0,-1.975506446875002,True,Fm-3m,225,2,24.152443144810146,7.2348659432912275,0.0
N-Zr,mp-277,Zr3N4,Zr3 N4,0.0,-1.852383193928572,True,Pnma,62,28,348.3795536060767,6.285991608223824,0.970499999999999
N-Zr,mp-1014265,Zr2N,Zr2 N1,0.0,-1.4107297929166691,True,P4_2/mnm,136,6,96.9202031607171,6.731737935510314,0.0
Ni-Si,mp-1118,SiNi2,Si1 Ni2,0.0,-0.5239610841666671,True,Pnma,62,12,127.59978623566468,7.57250288216039,0.0
Ni-Si,mp-351,SiNi,Si1 Ni1,0.0,-0.470655468750001,True,Pnma,62,8,95.11263185898753,6.060173114343621,0.0
Ni-Si,mp-828,SiNi3,Si1 Ni3,0.0,-0.433701681250001,True,Pm-3m,221,4,41.55620475515073,8.158231073007569,0.0
Ni-Si,mp-2291,Si2Ni,Si2 Ni1,0.0,-0.344433906666665,True,Fm-3m,225,3,39.06735986654285,4.882255269184835,0.0
Si-Ti,mp-505527,Ti5Si4,Ti5 Si4,0.0,-0.808110990370371,True,P4_12_12,92,36,543.9586037520537,4.2942488144989355,0.0
Si-Ti,mp-2108,Ti5Si3,Ti5 Si3,0.0,-0.789528400416667,True,P6_3/mcm,193,16,245.66856891761668,4.374481682676191,0.0
Si-Ti,mp-7092,TiSi,Ti1 Si1,0.0,-0.785364454583332,True,Pnma,62,8,118.09958047739894,4.271720287103741,0.0
Si-Ti,mp-1077503,TiSi2,Ti1 Si2,0.0,-0.538035765555555,True,Cmcm,63,6,85.07105327119068,4.061526377490749,0.0
